Transaction Date,Post Date,Description,Category,Amount,Custom Category,User,Group
2/15/24,2/16/24,VET CENTRAL PTE LTD,Miscellaneous,-57.45,Charlie,Both,
2/16/24,2/16/24,Payment Thank You-Mobile,,1460.07,Payment,,
2/15/24,2/15/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
2/14/24,2/15/24,CURATE KITCHEN,Food & Drink,-1.49,Food,Kevin,
2/14/24,2/14/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.06,Fees,Kevin,
2/13/24,2/14/24,FAIRPRICE XTRA-AMK,Food & Drink,-35.54,Groceries,Both,
2/14/24,2/14/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.33,Fees,Kevin,
2/12/24,2/14/24,PET LOVERS CENTRE AMK,Merchandise & Inventory,-11.16,Charlie,Both,
2/14/24,2/14/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/8/24,2/14/24,BUS/MRT 388312551,Travel,-2.88,Transport,Kevin,
2/14/24,2/14/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.9,Fees,Kevin,
2/13/24,2/14/24,AJISEN TANJIRO,Food & Drink,-30.18,Food,Both,
2/14/24,2/14/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/9/24,2/14/24,BUS/MRT 388787223,Travel,-2.91,Transport,Kevin,
2/14/24,2/14/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.07,Fees,Kevin,
2/7/24,2/14/24,BUS/MRT 387795653,Travel,-2.5,Transport,Kevin,
2/13/24,2/13/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.55,Fees,Kevin,
2/13/24,2/13/24,SP JOVIAL FLORAL,Merchandise & Inventory,-51.75,Misc,Kevin,
2/13/24,2/13/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.12,Fees,Kevin,
2/12/24,2/13/24,MALAYSIA BOLEH AMK HUB,Food & Drink,-4.09,Food,Both,
2/13/24,2/13/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-5.31,Fees,Kevin,
2/12/24,2/13/24,ALLY.FAMILY,Office & Shipping,-177.04,Health,Mon,
2/13/24,2/13/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.27,Fees,Kevin,
2/11/24,2/13/24,MCDONALD'S (AMK),Food & Drink,-9.19,Food,Both,
2/13/24,2/13/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.75,Fees,Kevin,
2/12/24,2/13/24,FAIRPRICE XTRA-AMK,Food & Drink,-25.14,Groceries,Both,
2/13/24,2/13/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.11,Fees,Kevin,
